Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Inward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Start link (WBSGantt)),Inward issue link (Hierarchy link (WBSGantt)),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Activity Class),Custom field (Activity Type),Custom field (Biomica Delivery),Custom field (Budget),Custom field (Budget 2),Custom field (CRISPRIL WP),Custom field (Crispr Delivery),Custom field (DevOps Platform),Custom field (EVGN Description),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Experiment Name),Custom field (Lavie project),Custom field (Maturity Level),Custom field (Planned End),Custom field (Planned Start),Custom field (Priority),Custom field (Product),Custom field (Rank),Sprint
CLONE - Analyze selected CORBAC runs Algo Jan 2023,MIC-707,38613,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,anatm,anatol,drorf,02/01/2023 09:30,10/01/2023 13:06,12/09/2023 13:19,,29/12/2022 00:00,anatm,anatol,drorf,elanitec,,,,,,,;03/Jan/23 7:01 AM;anatm;28800,,,,,,,,,,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-688,,,,,,,,,,,,,,,,,,,MIC-679,MIC-371,MIC-699,,,,,,,,,,02/Jan/23 9:30 AM;drorf;Comparisons of test 6.10.22.xlsx;https://jira.prod.evogene.host/secure/attachment/39613/Comparisons+of+test+6.10.22.xlsx,02/Jan/23 9:30 AM;drorf;job1391_lr_sorted_by_pvalue.tsv;https://jira.prod.evogene.host/secure/attachment/39614/job1391_lr_sorted_by_pvalue.tsv,02/Jan/23 9:30 AM;drorf;job1391_results.empirical.sorted.tsv;https://jira.prod.evogene.host/secure/attachment/39615/job1391_results.empirical.sorted.tsv,02/Jan/23 9:30 AM;drorf;job4774_lr_sorted_by_pvalue.tsv;https://jira.prod.evogene.host/secure/attachment/39616/job4774_lr_sorted_by_pvalue.tsv,02/Jan/23 9:30 AM;drorf;job4774_results.empirical.sorted.tsv;https://jira.prod.evogene.host/secure/attachment/39617/job4774_results.empirical.sorted.tsv,02/Jan/23 9:30 AM;drorf;job4843_lr_sorted_by_pvalue.tsv;https://jira.prod.evogene.host/secure/attachment/39618/job4843_lr_sorted_by_pvalue.tsv,02/Jan/23 9:30 AM;drorf;job4843_results.empirical.sorted.tsv;https://jira.prod.evogene.host/secure/attachment/39619/job4843_results.empirical.sorted.tsv,02/Jan/23 9:30 AM;drorf;ko.results_ID4843_lph1_139_20.9.22.tsv.xlsx;https://jira.prod.evogene.host/secure/attachment/39620/ko.results_ID4843_lph1_139_20.9.22.tsv.xlsx,02/Jan/23 9:30 AM;drorf;ko.results_lph1_122_2.10.22_without3000_7000_corbacID4774.tsv.xlsx;https://jira.prod.evogene.host/secure/attachment/39621/ko.results_lph1_122_2.10.22_without3000_7000_corbacID4774.tsv.xlsx,02/Jan/23 9:30 AM;drorf;ko.results_lph1_139_22.9.22_without_3000_7000_limit.tsv.xlsx;https://jira.prod.evogene.host/secure/attachment/39622/ko.results_lph1_139_22.9.22_without_3000_7000_limit.tsv.xlsx,02/Jan/23 9:30 AM;drorf;Table_test_ko_results_comparison_4843_versus_1391_29.9.22.xlsx;https://jira.prod.evogene.host/secure/attachment/39623/Table_test_ko_results_comparison_4843_versus_1391_29.9.22.xlsx,,,,,,,,,,,,,,,,,,,Tool Support,Research,,P265 - CSO microbials (CSO/Product),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-563,,,,,,,,,MicroBoost,0|i00z27:,01/12/2022
Add repair prediction for LocalGoGenome,CRIS-380,37816,,Task,Closed,CRIS,CrisprIL,software,drorf,,,High,,anatm,erane,erane,20/12/2022 14:41,23/01/2023 09:32,12/09/2023 13:19,,05/01/2023 00:00,anatm,erane,,,,,,,,,;03/Jan/23 7:13 AM;anatm;57600,;05/Jan/23 12:24 PM;anatm;28800,;05/Jan/23 12:24 PM;anatm;28800,,,,,,,,,,,,,,,,,,,,,,,115200,0,115200,100%,115200,0,115200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRIS-376,CRIS-379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P277 - CrisprIL_WP1 (CRISPR) (2023),,WP1,(9) Final deliveries and knowledge transfer,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",22/01/2023 00:00,,CRIS-376,,,,,,,,,Generator,0|i00yen:,01/01/2023
add LOGO for regression in EvoML ,CRIS-395,40103,,Task,Closed,CRIS,CrisprIL,software,drorf,,,High,,anatm,erane,erane,22/01/2023 13:41,23/01/2023 09:30,12/09/2023 13:19,,31/01/2023 00:00,anatm,erane,,,,,,,,,;22/Jan/23 2:02 PM;anatm;57600,,,,,,,,,,,,,,,,,,,,,,,,,86400,28800,57600,66%,86400,28800,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRIS-376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P277 - CrisprIL_WP1 (CRISPR) (2023),,WP1,(9) Final deliveries and knowledge transfer,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CRIS-376,,,,,,,,,Generator,0|i00zpr:,01/01/2023
add repair prediction for plants in Gogenome,CRIS-379,37808,,Task,Closed,CRIS,CrisprIL,software,drorf,,,High,,anatm,erane,erane,20/12/2022 14:25,26/01/2023 13:02,12/09/2023 13:19,,25/01/2023 00:00,anatm,erane,,,,,,,,,;23/Jan/23 9:28 AM;anatm;28800,;26/Jan/23 1:02 PM;anatm;115200,,,,,,,,,,,,,,,,,,,,,,,,86400,0,144000,166%,86400,0,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRIS-376,,,,,,,,,CRIS-380,,,,,,,,,,,,19/Jan/23 11:17 AM;anatm;ASSESS_EDITREPAIR_DELETION_NoStratification_CVNoLogo_LightGM_regression.sum_assessment_models.tsv;https://jira.prod.evogene.host/secure/attachment/41003/ASSESS_EDITREPAIR_DELETION_NoStratification_CVNoLogo_LightGM_regression.sum_assessment_models.tsv,19/Jan/23 11:17 AM;anatm;ASSESS_EDITREPAIR_DELETION_NoStratification_CVNoLogo_RF_regression.sum_assessment_models.tsv;https://jira.prod.evogene.host/secure/attachment/41004/ASSESS_EDITREPAIR_DELETION_NoStratification_CVNoLogo_RF_regression.sum_assessment_models.tsv,19/Jan/23 11:17 AM;anatm;ASSESS_EDITREPAIR_OUT_OF_FRAME_NoStratification_CVNoLogo_LightGM_regression.sum_assessment_models.tsv;https://jira.prod.evogene.host/secure/attachment/41005/ASSESS_EDITREPAIR_OUT_OF_FRAME_NoStratification_CVNoLogo_LightGM_regression.sum_assessment_models.tsv,19/Jan/23 11:17 AM;anatm;ASSESS_EDITREPAIR_OUT_OF_FRAME_NoStratification_CVNoLogo_RF_regression.sum_assessment_models.tsv;https://jira.prod.evogene.host/secure/attachment/41006/ASSESS_EDITREPAIR_OUT_OF_FRAME_NoStratification_CVNoLogo_RF_regression.sum_assessment_models.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P277 - CrisprIL_WP1 (CRISPR) (2023),,WP1,(9) Final deliveries and knowledge transfer,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",25/02/2023 00:00,,CRIS-376,,,,,Early phase,,,,Generator,0|i00ycv:,01/01/2023
CLONE - Local GoGenome - gRNAs on target max CFD and primers JAN23,CRIS-397,40200,,Task,Closed,CRIS,CrisprIL,software,drorf,,,High,,anatm,erane,sharonl,23/01/2023 09:10,01/02/2023 08:08,12/09/2023 13:19,,31/01/2023 00:00,anatm,sharonl,,,,,,,,,;23/Jan/23 9:27 AM;anatm;288000,;01/Feb/23 8:07 AM;anatm;115200,,,,,,,,,,,,,,,,,,,,,,,,403200,0,403200,100%,403200,0,403200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRIS-370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P277 - CrisprIL_WP1 (CRISPR) (2023),,WP1,(9) Final deliveries and knowledge transfer,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",31/01/2023 00:00,,CRIS-376,,,,,New,,,,Generator,0|i00zq7:,01/12/2022
add primers information for LocalGoGenome,CRIS-378,37807,,Task,Closed,CRIS,CrisprIL,software,drorf,,,High,,anatm,erane,erane,20/12/2022 14:16,28/02/2023 15:12,12/09/2023 13:19,,01/03/2023 00:00,anatm,erane,,,,,,,,,;14/Feb/23 1:34 PM;anatm;259200,;28/Feb/23 1:58 PM;anatm;115200,,,,,,,,,,,,,,,,,,,,,,,,144000,259200,374400,260%,144000,259200,374400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRIS-376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P277 - CrisprIL_WP1 (CRISPR) (2023),,WP1,(9) Final deliveries and knowledge transfer,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",01/03/2023 00:00,,CRIS-376,,,,,,,,,Generator,0|i00ycn:,01/02/2023
Summarize DL predict and Tomato repair model,CRIS-410,42701,,Task,Closed,CRIS,CrisprIL,software,drorf,,,Medium,,anatm,nira,nira,23/02/2023 07:53,05/03/2023 13:35,12/09/2023 13:19,,01/03/2023 00:00,anatm,erane,nira,,,,,,,,;05/Mar/23 1:35 PM;anatm;28800,,,,,,,,,,,,,,,,,,,,,,,,,57600,28800,28800,50%,57600,28800,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/Mar/23 1:44 PM;anatm;ForCrisprILManual.docx;https://jira.prod.evogene.host/secure/attachment/44413/ForCrisprILManual.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Research Output,Research,,P277 - CrisprIL_WP1 (CRISPR) (2023),,WP1,(9) Final deliveries and knowledge transfer,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CRIS-376,,,,,,,,,Generator,0|i010uv:,01/03/2023
Pareto rewrite into Airflow March,CHEM-622,42605,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,anatm,hamutal.e,robertoo,22/02/2023 13:38,27/03/2023 07:52,12/09/2023 13:19,,14/03/2023 00:00,alinsb,anatm,hamutal.e,robertoo,,,,,,,;14/Mar/23 9:10 AM;anatm;115200,;16/Mar/23 10:18 AM;anatm;28800,,,,,,,,,,,,,,,,,,,,,,,,230400,86400,144000,62%,230400,86400,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P264 - CSO small molecules (CSO/Product),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i010tj:,01/03/2023
Customizing library screening using DeepDock (after model creation) - cloned,CHEM-569,38207,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,anatm,hamutal.e,robertoo,26/12/2022 15:29,02/04/2023 06:42,12/09/2023 13:19,,21/03/2023 00:00,alinsb,robertoo,,,,,,,,,;23/Mar/23 8:17 AM;anatm;144000,;30/Mar/23 8:39 AM;anatm;115200,;30/Mar/23 11:18 AM;anatm;57600,,,,,,,,,,,,,,,,,,,,,,,144000,0,316800,220%,144000,0,316800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-654,CHEM-636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API,Development,,P264 - CSO small molecules (CSO/Product),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i00yun:,01/03/2023
Customizing library screening using DeepDock (after model creation) .April,CHEM-654,45008,,Task,Closed,CHEM,ChemPass,software,michalslu,,,Medium,,anatm,hamutal.e,hamutal.e,29/03/2023 10:39,01/05/2023 07:34,12/09/2023 13:19,,06/04/2023 00:00,hamutal.e,robertoo,,,,,,,,,use of one GPU out of two on gpu-dm;01/May/23 7:33 AM;anatm;57600,;01/May/23 7:34 AM;anatm;86400,,,,,,,,,,,,,,,,,,,,,,,,86400,0,144000,166%,86400,0,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM-569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API,Development,,P264 - CSO small molecules (CSO/Product),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CHEM-595,,,,,,,,,ChemPass,0|i01253:,01/04/2023
