Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Labels,Description,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Gantt End to Start),Inward issue link (Gantt End to Start),Outward issue link (Gantt End to Start),Outward issue link (Gantt End to Start),Outward issue link (Gantt End to Start),Outward issue link (Gantt End to Start),Inward issue link (Hierarchy link (WBSGantt)),Inward issue link (Hierarchy link (WBSGantt)),Inward issue link (Hierarchy link (WBSGantt)),Outward issue link (Hierarchy link (WBSGantt)),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (finish-start [GANTT]),Inward issue link (finish-start [GANTT]),Outward issue link (finish-start [GANTT]),Outward issue link (finish-start [GANTT]),Inward issue link (multi-level hierarchy [GANTT]),Outward issue link (multi-level hierarchy [GANTT]),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Activity Class),Custom field (Activity Type),Custom field (AgPlenus Delivery),Custom field (AgPlenus Delivery),Custom field (Biomica Delivery),Custom field (Budget),Custom field (CRISPRIL WP),Custom field (DevOps Platform),Custom field (Domain),Custom field (EVGN Description),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Execution Status),Custom field (Experiment Name),Custom field (Lavie project),Custom field (Maturity Level),Custom field (Planned End),Custom field (Planned Start),Custom field (Priority),Custom field (Product),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Structure Index Monitor),Custom field (Task mode),Custom field (Task progress),Custom field (Teams),Custom field (Teams),Custom field (Work Station),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
StrainDB: write summary of StrainDB update process from MB side Mar2024,MIC-1206,66557,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,larisar,larisar,larisar,01/Apr/24 3:39 AM,02/Apr/24 9:25 AM,09/Apr/24 6:45 AM,,28/Feb/24 12:00 AM,0,,,,"Task to complete MIC-1133
DOD:
1. Summarize StrainDB update process from MB side including required QA.
2. Open MB site in confluence and put the summary there.",larisar,,,,,,,"See attached 13.03.2024 to MIC-1147 final document (StrainDB_2022__production_process_summary__v1.docx);01/Apr/24 3:46 AM;larisar;144000",,,,,,,,,,,,,,,,57600,0,144000,250%,57600,0,144000,,,,,,,,,,,,MIC-1147,,,MIC-1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P273 - Product- Upkeep MB ,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-1127,,,,,,,,,,MicroBoost,"0|i01fwf:",Mar-2024,,,,,,,,,Product,,,,,,,,,,,,,,,,,,,,
Bug: Isolates assignment to Bacum Groups- IB,MIC-1204,66547,Bug,Closed,MIC,MicroBoost,software,larisar,,,Medium,,iliab,gala,gala,31/Mar/24 8:18 AM,31/Mar/24 3:28 PM,09/Apr/24 6:45 AM,,31/Mar/24 12:00 AM,0,,,,"Please evaluate and fix (if needed) isolate assignment to Bacum Groups in general and specifically Bacum Group 20895 (122 genomes with at least 8 different taxa families).

UI link to search: https://laviebio.prod.evogene.host/laviebio/platforms/dist/external/flora/isolateSearch

DOD: Fixed pipeline for isolate assignment to Bacum Group. 
Please add a detailed description in JIRA regarding problem that occurred and its solution. 

Thanks",gala,iliab,liorr,,,,,";31/Mar/24 2:23 PM;iliab;28800",,,,,,,,,,,,,,,,,0,28800,,,0,28800,,,,,,,,,,,,,,,MIC-1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31/Mar/24 8:18 AM;gala;20895BG.xlsx;https://jira.prod.evogene.host/secure/attachment/66904/20895BG.xlsx","31/Mar/24 3:20 PM;iliab;MIC-1204_mash_test_20895BG.xlsx;https://jira.prod.evogene.host/secure/attachment/66911/MIC-1204_mash_test_20895BG.xlsx",,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (CPB),,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-1127,,,,,,,,,,MicroBoost,"0|i01fu7:",Mar-2024,,,,,,,,,Bio-Info,,,"31/Mar/24 3:28 PM;iliab;I run a manual mash of all the productions from 20895BG. 

 
{code:java}
# 1) Sketch genomes
docker-compose run app bash
cd /cpbclouds/laviebio/workarea/iliab2/BUG_MIC-1202/mash
for file in *.xfa; do mash sketch -o ""${file%.xfa}"" $file; done

# 2) Combine sketches 
mash paste combined_sketch *.msh

# 3) calculate distance matrix
mash dist combined_sketch.msh combined_sketch.msh > distance_matrix.tab
{code}
 

After that, I ran the def *parse_results* (from *run_mash.py*  under *Compare_genome_to_Reference.py*) and got correct results (TRUE when the distance is ""small"" and FALSE when the distance is ""big""):
{code:java}
if float(mash_dist) <= 0.05 and float(pval) < 0.05:
{code}
[^MIC-1204_mash_test_20895BG.xlsx]

The Mash results showed that the 20895BG group is a highly heterogenic group as we also observed with Forester and NCBI taxonomy.  Their clustering together is probably due to a software error. 

Running whole *Compare_genome_to_Reference.py* in debugger mode. 

 

 

 

 

 

 

 

 ",,,,,,,,,,,,,,,,,
Literature review for training set preparation- MB,MIC-1203,66541,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,elanitec,elanitec,elanitec,31/Mar/24 6:46 AM,31/Mar/24 6:52 AM,09/Apr/24 6:45 AM,,09/Apr/24 12:00 AM,0,,,,"Literature search for urolithin producing and non producing bacteria. 

DOD: A list of urolithin producing and non producing bacteria (at least 40) with their genome accession numbers.


",elanitec,,,,,,,"literature review;31/Mar/24 6:51 AM;elanitec;201600",,,,,,,,,,,,,,,,201600,0,201600,100%,201600,0,201600,,,,,,,,,,,,,,,MIC-1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Research,,,,P165 - VERB BIOTICS,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",31/Mar/24 12:00 AM,,MIC-1157,,,,,,,,,,MicroBoost,"0|i01fsv:",Mar-2024,,,,03/Mar/24 12:00 AM,,,,,Product,,,,,,,,,,,,,,,,,,,,
Bug: Isolates assignment to Bacum Groups ,MIC-1202,66524,Bug,Closed,MIC,MicroBoost,software,larisar,,,Medium,,liorr,elanitec,elanitec,27/Mar/24 7:06 AM,01/Apr/24 1:04 PM,09/Apr/24 6:45 AM,,31/Mar/24 12:00 AM,0,,,,"Please evaluate and fix (if needed) isolate assignment to Bacum Groups in general and specifically Bacum Group 20895 (122 genomes with at least 8 different taxa families).

UI link to search: https://laviebio.prod.evogene.host/laviebio/platforms/dist/external/flora/isolateSearch

DOD: Fixed pipeline for isolate assignment to Bacum Group. 
Please add a detailed description in JIRA regarding problem that occurred and its solution. 

Thanks",elanitec,gala,larisar,liorr,sharonl,,,";27/Mar/24 10:25 AM;liorr;14400",";28/Mar/24 11:37 AM;liorr;7200",,,,,,,,,,,,,,,,0,21600,,,0,21600,,,,,,,,,,,,MIC-1207,MIC-1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27/Mar/24 7:20 AM;gala;20895BG.xlsx;https://jira.prod.evogene.host/secure/attachment/66874/20895BG.xlsx",,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (CPB),,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-1127,,,,,,,,,,MicroBoost,"0|i01fpb:",Mar-2024,,,,,,,,,Bio-Info,,,"27/Mar/24 7:21 AM;gala;Hi [~liorr]

Attached is the list of the productions that are in BG 20895","28/Mar/24 8:43 AM;elanitec;[~liorr][~gala], just to update you that the list of productions is running against GTDB (via Forester).
job f0737b65-35f8-418e-afc5-c3acafc555f6. 
[~iliab] is monitoring the run.","28/Mar/24 1:37 PM;liorr;Beside group 20895, we have 2 other groups with different taxonomies:
group 20452 (Enterobacter, Lysobacter, Pseudomonas, Acinetobacter) group size=20
group 20823 (Bacillus, Erwinia, Pantoea, Microbacterium, Leifsonia, Sanguibacter) group size=55
So the phenomenon occurs only 3 groups",,,,,,,,,,,,,,,
Microboost_efforts_internal_Mar2024,MIC-1154,65702,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,elanitec,larisar,larisar,03/Mar/24 8:48 AM,01/Apr/24 4:01 AM,09/Apr/24 6:45 AM,,31/Mar/24 12:00 AM,0,,,,"Please updated Work Log with effort per *project* while working internal microboost needs.
Please see an example below:
 !image-2023-01-06-00-02-27-013.png|thumbnail! ",larisar,,,,,,,"APHIS for Michal;01/Apr/24 4:01 AM;larisar;14400",,,,,,,,,,,,,,,,,0,14400,,,0,14400,,,,,,,,,,,,MIC-1179,,,MIC-1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03/Mar/24 8:48 AM;larisar;image-2023-01-06-00-02-27-013.png;https://jira.prod.evogene.host/secure/attachment/66402/image-2023-01-06-00-02-27-013.png",,,,,,,,,,,,Other,,,,P265 - Product- MB (Microboost),,,Computational,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-1119,,,,,,,,,,MicroBoost,"0|i01dv3:",Mar-2024,,,,,,,,,Product,,,,,,,,,,,,,,,,,,,,
Fix productions with different name in fasta file - new prods Feb,MIC-1153,65202,Bug,Closed,MIC,MicroBoost,software,larisar,,,Medium,,michala,gala,gala,22/Feb/24 7:18 AM,10/Mar/24 1:21 PM,09/Apr/24 6:45 AM,,29/Feb/24 12:00 AM,0,,,,"This task is a continuation of MIC-1153.

Here we will generate new productions (fast and full) for the problematic productions that we couldn't fix.

1. Please add a list of the new productions for lavie (fast and full)

2. Please add a list of the new productions for biomica (fast and full).

3. Generate their production and supply a table with the old and new names.

DOD:

All of the productions are fixed!!! :)",gala,michala,,,,,,";25/Feb/24 7:07 AM;michala;57600",";25/Feb/24 7:11 AM;michala;14400",";26/Feb/24 3:23 PM;michala;14400",,,,,,,,,,,,,,86400,0,86400,100%,86400,0,86400,,,,,,,,,,,,MIC-1156,,,MIC-1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26/Feb/24 2:06 PM;michala;bacatana2_stats_30;https://jira.prod.evogene.host/secure/attachment/66110/bacatana2_stats_30","26/Feb/24 3:53 PM;michala;biomica_new_production_old_names_updated.txt;https://jira.prod.evogene.host/secure/attachment/66115/biomica_new_production_old_names_updated.txt","26/Feb/24 3:23 PM;michala;lavie_new_production_old_names_all_updated.txt;https://jira.prod.evogene.host/secure/attachment/66114/lavie_new_production_old_names_all_updated.txt",,,,,,,,,,Development,,,,P271 - CPB Upkeep Computational (CPB),,,Computational,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",27/Feb/24 12:00 AM,,MIC-1060,,,,,,,,,,MicroBoost,"0|i01dcf:",Feb-2024,,,,22/Feb/24 12:00 AM,,,,,Bio-Info,,,"26/Feb/24 2:03 PM;michala;30 productions were re-created in biomica, and are in this list: the attached bacatana2_stats_30

Of them, the following productions were fully annotated: 
|Serratia_marcescens_enterobacteria_GCF_000783975_24v1|
|Yersinia_ruckeri_enterobacteria_GCF_000775355_24v1|
|Staphylococcus_aureus_firmicutes_GCF_001018875_24v1|
|Shigella_flexneri_enterobacteria_GCF_000783735_24v1|
|Shigella_flexneri_enterobacteria_GCF_001188055_24v1|
|Pseudomonas_putida_ND6_24v1|
|Clostridium_bifermentans_ATCC_19299_24v1|
|Brevibacillus_brevis_firmicutes_24v1|
|Serratia_liquefaciens_enterobacteria_24v1|
|Serratia_plymuthica_enterobacteria_24v1|

Lactococcus_15417EM_19177_16v1, that was also on the list to be fully annotated, could not be re-created at all (failed bactana), and the original could not be repaired.

 

Two failed bacatan1:

Buchnera_aphidicola_Tuberolachnus_salignus_enterobacteria 
Pseudomonas_putida_SJ3","26/Feb/24 2:08 PM;michala;One productions was created in Lavie:

Aeromonas_salmonicida_salmonicida_g_proteobacteria_GCF_000931985_24v1

one failed:

Ensifer_adhaerens_10831EM_5019","26/Feb/24 3:23 PM;michala;Updated lists of old and new names of new productions and failed ones:

[^biomica_new_production_old_names_updated.txt]

[^lavie_new_production_old_names_all_updated.txt]","26/Feb/24 8:11 PM;michala;All productions were either fixed, re-created, or failed re-creation.

For productions that failed, it was by Busco results - either low single and complete, or high contamination.",,,,,,,,,,,,,,
Fix Genome page main UI - Droplist Sequences & IGV - add interpro7 track MB QA,MIC-1151,65109,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,larisar,larisar,larisar,21/Feb/24 4:07 PM,31/Mar/24 1:57 PM,09/Apr/24 6:45 AM,,15/Mar/24 12:00 AM,0,,,,"*MB QA of MIC-1043, MIC-1143*
",elanitec,larisar,,,,,,"preparation of prods list to check (productions that were not run to display IGV by UI and have different versions of interpro annotations (interpro/interpro5/interpro7) in production folder);20/Mar/24 2:22 PM;larisar;7200",";25/Mar/24 8:42 AM;inbarp;10800","After moving the RunAnnotation pipeline to AirFlow, the interpro annotation file is created without a version number in the file extension, i.e. <production_full_name>.interpro instead of the current version <production_full_name>.interpro7.
=> in MIC-1043 was defined the following rule which was applied in MIC-11743: on IGV the track should be called ""interpro7"" if the data presented for *.interpro/*.interpro7 file system files and ""interpro5"" if the data presented for *.interpro5 file system files; on UI should be displayed the latest version available in the production folder in file system.

*1.* During QA was revealed that productions from 14v versions have
<production_full_name>.interpro - older than interpro5
<production_full_name>.interpro5 => *Itai* added the following condition to the code to exclude files <production_full_name>.interpro that are older than interpro5:
if exists(interpro7):
....
elif exists(interpro) AND year >= 23:
....
elif exists (interpro5):
...

*2.* Correct version is presented on Genome Page and Cluster Page UIs (verified on IPR IDs level).
For details see *attached Summary_interpro_IP 21.03.2024_LR.xlsx*.

*3.* Issues to be completed:
 * opened MIC-1180: We don't recalculate the interpro annotation retroactively for all productions to align all of them to the latest interpro version.
To allow the interpro version to be displayed correctly in the UI for future interpro updates, the extension of the interpro annotation file must include the version. => to be fixed.

 * opened MIC-1174: remove IPR ids track and present only interpro descriptions track, change the track color to darker one. 

 * discuss with Itai and open task for May if required: understand why IPR id appears in the middle of description and change the format correspondingly to present it as desired on UI; discuss with Dudu and Itai if any Dev fix is needed following MIC-1180 and possible change in description format.;31/Mar/24 1:52 PM;larisar;10800",,,,,,,,,,,,,,14400,0,28800,200%,14400,0,28800,,,,,,,,,,,,,,,MIC-1143,,,,,,,,,,,,MIC-1180,,,,,,,,,,,,,,,,,,,,,,"31/Mar/24 1:03 PM;larisar;Summary_interpro_IP 21.03.2024_LR-1.xlsx;https://jira.prod.evogene.host/secure/attachment/66908/Summary_interpro_IP+21.03.2024_LR-1.xlsx","31/Mar/24 1:03 PM;larisar;Summary_interpro_IP 21.03.2024_LR.xlsx;https://jira.prod.evogene.host/secure/attachment/66907/Summary_interpro_IP+21.03.2024_LR.xlsx","31/Mar/24 1:03 PM;larisar;Summary_interpro_IP 21.03.2024_LR.xlsx;https://jira.prod.evogene.host/secure/attachment/66909/Summary_interpro_IP+21.03.2024_LR.xlsx",,,,,,,,,,Development,,,,P273 - Product- Upkeep MB ,,,Computational,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,,MicroBoost,"0|i01dbr:",Mar-2024,,,,20/Feb/24 12:00 AM,,,,,Product,,,"31/Mar/24 1:02 PM;larisar;See details in Work Log comments",,,,,,,,,,,,,,,,,
Pathways project definition Mar2024,MIC-1148,65104,Task,Closed,MIC,MicroBoost,software,larisar,,,High,,larisar,larisar,larisar,21/Feb/24 8:07 AM,02/Apr/24 9:25 AM,09/Apr/24 6:45 AM,,31/Mar/24 12:00 AM,0,,,,"*DOD*:
1. QA of MIC-1131, MIC-1135 and open cont tasks if needed.
2. QA of MIC-1132,MIC-1142 and open cont tasks if needed.
3. Define visualization tasks for Dev
4. Define new tables addition to SQl DB (mainly reactions)
5. Summarize meeting and additional questions to SRI 
6. Update  project schedule & tasks",elanitec,larisar,,,,,,"*QA of MIC-1131, MIC-1135 and open cont tasks if needed.*
Z:\BI\MICROBOOST\Processes_MICROBOOST\PATHWAYS_2024\QAs\MIC-1131\_MIC-1135_New pathway app - checkfix difference in PWYs number in DB vs file system\cpb_central\_\_PATHWAYS_not_KEGG.xlsx
Passed QA:
1. all 5349 PWYs exist in cpb_central.PATHWAYS table:
wc /cpbclouds/central/databases/pathways/metacyc_custom/PWY_descriptions.txt
5350 (5349 due to header row).

2. there are 17 obsolete MetaCyc pathways in cpb_central.PATHWAYS table ( obsolete_MetaCyc_PWYs.xlsx ):
select count \(*) from pathways where source='metacyc';
5366
IliaB checked these PWYs in the Protein2PWY, PWY2RXN and PWY_global_counts files.
These PWYs are not there. 

3. see attached clarified, revised and approved by Ilia Burgsdorf decisions regarding the Metacyc DB structure:  [^MIC-1131__DB_desicion_updated_from_Ilia_LR.pptx] ;20/Mar/24 11:46 AM;larisar;14400",";01/Apr/24 3:52 AM;larisar;316800",,,,,,,,,,,,,,,,0,331200,,,0,331200,,,,,,,,,,,,MIC-1177,,,MIC-1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21/Mar/24 12:18 PM;larisar;MIC-1131__DB_desicion_updated_from_Ilia_LR.pptx;https://jira.prod.evogene.host/secure/attachment/66824/MIC-1131__DB_desicion_updated_from_Ilia_LR.pptx","20/Mar/24 12:02 PM;larisar;obsolete_MetaCyc_PWYs.xlsx;https://jira.prod.evogene.host/secure/attachment/66811/obsolete_MetaCyc_PWYs.xlsx",,,,,,,,,,,,,,,P265 - Product- MB (Microboost),,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-888,,,,,,,,,,MicroBoost,"0|i01dan:",Mar-2024,,,,,,,,,Product,,,"24/Mar/24 4:35 PM;larisar;See WorkLog for comments",,,,,,,,,,,,,,,,,
StrainDB: write summary of StrainDB update process from MB side CPB QA,MIC-1147,65102,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,michala,larisar,larisar,21/Feb/24 7:56 AM,01/Apr/24 3:42 AM,09/Apr/24 6:45 AM,,31/Mar/24 12:00 AM,0,,,,"MB summarized StrainDB_2022 update process. 
Please review the attached document and answer questions that BI was asked in it (mentioned in comments).
 [^StrainDB_2022__production_process_summary__v1.docx] 


DOD:
Attached reviewed document with ""Track changes"" and answered questions.",elanitec,gala,larisar,michala,,,,";27/Mar/24 7:43 AM;michala;86400",,,,,,,,,,,,,,,,86400,0,86400,100%,86400,0,86400,,,,,,,,,,,,MIC-1178,MIC-1205,,MIC-1206,MIC-1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13/Mar/24 5:19 AM;larisar;StrainDB_2022__production_process_summary__v1.docx;https://jira.prod.evogene.host/secure/attachment/66739/StrainDB_2022__production_process_summary__v1.docx","28/Mar/24 9:29 AM;michala;StrainDB_2022__production_process_summary__v1_MA 1_GA.docx;https://jira.prod.evogene.host/secure/attachment/66882/StrainDB_2022__production_process_summary__v1_MA+1_GA.docx",,,,,,,,,,,,,,,P273 - Product- Upkeep MB ,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",21/Mar/24 12:00 AM,,MIC-1127,,,,,,,,,,MicroBoost,"0|i01da7:",Mar-2024,,,,25/Mar/24 12:00 AM,,,,,Bio-Info,,,"21/Feb/24 11:33 AM;gala;Hi [~larisar]

Can you please attache the current version that you have so that we will be able to give a relevant time estimation?

Thanks","26/Feb/24 6:42 AM;larisar;Hi [~gala],
I hoped that intermediate version will contain already finished fix section, but I'm still in the middle of it...
I'm attaching here what I've currently.
 [^StrainDB_2022__production_process_summary__v1.docx] 
","13/Mar/24 5:20 AM;larisar;Hi
I replaced the attached intermediate  file mentioned in the comment above with the final v1 file.
Thanks!","28/Mar/24 9:29 AM;michala;Hi [~larisar], attached is the file with the answers from me and the one I gathered from Tal, Itai, Gal, and IliaB.

[^StrainDB_2022__production_process_summary__v1_MA 1_GA.docx]",,,,,,,,,,,,,,
Fix Genome page main UI - Droplist Sequences & IGV - add interpro7 track DEV,MIC-1143,64804,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,hodayam,larisar,larisar,18/Feb/24 10:47 AM,31/Mar/24 1:01 PM,09/Apr/24 6:45 AM,,27/Feb/24 12:00 AM,0,,,,"*Following MIC-1043 (Fix Genome page main UI - Droplist Sequences & IGV): algo work*

1. On IGV the track should be called ""interpro7"" if the data presented for *.interpro/*.interpro7 file system files and ""interpro5"" if the data presented for *.interpro5 file system files.

2. After the update and MB QA approval, all folders that have been generated already for ""Sequencies & IGV"" tab of corresponding Genome Pages should be deleted to enable re-generation of the folder which will include interpro bed file to be presented on UI.

3. RESEQ: The same adjustments must be made (section 1 above). Since the RESEQ folders have many additional files calculated by the BI RESEQ/SAUCE pipeline, it is not possible to simply delete the folder, but the change has to be made for interpro files specifically (there are only 2-3 bacteria that have RESEQ/SAUCE analysis).

4. [~hodayam], IGV track is also accessible through cluster page. Are the sections above cover IGV cluster page UI as well?

*DOD:*
1. [~hodayam], please confirm to make sure all of the above is feasible and we don't miss anything.
2. Please add Interpro7 track to appear on Genome page UI (droplist Sequences & IGV, RESEQ) and Cluster Page UI (droplist IGV) according to the definition in description.

[~erezn]
 ",elanitec,erezn,hodayam,larisar,,,,";21/Feb/24 12:43 PM;hodayam;28800",,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,MIC-1174,MIC-1151,,MIC-1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Development,,,,P273 - Product- Upkeep MB ,,,Computational,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,,MicroBoost,"0|i01d1z:",Feb-2024,,,,20/Feb/24 12:00 AM,,,,,Dev,,,"21/Feb/24 8:24 AM;hodayam;Hi [~larisar],
For the igv will display the new version of the interpro, you should delete the folder of the production from /web/browse/igv/","21/Feb/24 8:51 AM;larisar;Thank You [~hodayam]!
So the deletion will be done as planned in description.","21/Feb/24 12:43 PM;hodayam;[~larisar] I changed the igv, reseq in genomepage and igv in cluster page to use in interpro7/interpro/interpro5.","31/Mar/24 1:01 PM;larisar;Hi [~hodayam],
The IGV UI presents correct interpro version, as requested.
There are few small issues to be completed - opened MIC-1174 in Apr2024 sprint.

Thank You",,,,,,,,,,,,,,
