Issue key,Issue id,Parent id,Custom field (Epic Link),Status,Custom field (Execution Status),Work Ratio,Due Date,Summary,Original Estimate,Time Spent,Assignee,Custom field (Budget),Custom field (Product),Sprint,Sprint,Creator,Custom field (Teams),Custom field (Teams)
MIC-1261,67345,,MIC-1157,Closed,As Planned,,15/08/2024 00:00,E.coli Uro-A validated strains - MetaCyc annotation,,,gala,P165 - VERB BIOTICS,MicroBoost,8/1/24,,larisar,Bio-Info,
MIC-1259,67272,,MIC-1256,Closed,As Planned,100%,30/08/2024 00:00,Verify that all applications use the correct Busco score - DEV,14400,14400,noama,P271 - CPB Upkeep Computational (CPB),MicroBoost,8/1/24,,inbarp,Dev,
MIC-1257,67268,,MIC-1256,Closed,As Planned,,30/08/2024 00:00,Verify that all applications use the correct Busco score - MB QA,,18000,inbarp,P273 - Product- Upkeep MB ,MicroBoost,8/1/24,,inbarp,Product,
MIC-1255,67266,,MIC-888,Closed,As Planned,25%,30/08/2024 00:00,New pathway app. - BI standby following MB QA,28800,7200,iliab,P265 - Product- MB (Microboost),MicroBoost,8/1/24,,larisar,Bio-Info,
MIC-1254,67265,,MIC-888,Closed,As Planned,25%,06/08/2024 00:00,New pathway app. - DEV required fixes following MB QA,28800,7200,duduz,P265 - Product- MB (Microboost),MicroBoost,8/1/24,,larisar,Dev,
MIC-1251,67261,,MIC-888,Closed,As Planned,100%,06/08/2024 00:00,New pathway app. - MetaCyc pathways and proteins visualization on Genome Page UI Aug2024,57600,57600,noama,P265 - Product- MB (Microboost),MicroBoost,8/1/24,,larisar,Dev,
MIC-1248,67248,,MIC-1157,Closed,As Planned,10%,29/08/2024 00:00,E.coli Uro-A validated strains - Mash analysis ,144000,14400,gala,P165 - VERB BIOTICS,MicroBoost,8/1/24,,drorf,Bio-Info,
MIC-1247,67175,,MIC-888,Closed,As Planned,133%,31/07/2024 00:00,New pathway app. - SQL DB infrastructure additions per production,86400,115200,noama,P265 - Product- MB (Microboost),MicroBoost,7/1/24,,larisar,Dev,
MIC-1243,67125,,MIC-1060,Closed,As Planned,75%,31/07/2024 00:00,Fix u_productions.SOURCE (GCF update) for 24v1 regenerated public productions,57600,43200,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,8/1/24,,larisar,Dev,
MIC-1242,67075,,MIC-1060,Closed,As Planned,87%,31/08/2024 00:00,BUGs that were exposed following QA on MIC-1156,115200,100800,noama,P271 - CPB Upkeep Computational (CPB),MicroBoost,8/1/24,,larisar,Dev,
MIC-1241,67018,,MIC-1157,Closed,As Planned,40%,31/07/2024 00:00,Production preparation for training set genomes - Negative E.coli,144000,57600,gala,P165 - VERB BIOTICS,MicroBoost,7/1/24,,elanitec,Bio-Info,
MIC-1237,67011,,MIC-888,Closed,As Planned,0%,04/07/2024 00:00,New pathway app. - SQL DB infrastructure additions Jul2024,86400,0,duduz,P265 - Product- MB (Microboost),MicroBoost,7/1/24,,larisar,Dev,
MIC-1235,67009,,MIC-888,Closed,Delay - Effort,137%,18/07/2024 00:00,New pathway app. - complete missing tables and support their upload to SQL DB Jul2024,115200,158400,iliab,P265 - Product- MB (Microboost),MicroBoost,7/1/24,,larisar,Bio-Info,
