Summary,Issue key,Project name,Assignee,Creator,Original Estimate,Original Estimate Days,Time Spent,Time Spent Days,Work Ratio,Custom field (Budget),Custom field (Epic Link),Custom field (Epic Name),Custom field (Product),Sprint,Custom field (Teams)
Funda- normalization function,CPB-820,CPB,anatm,gala,,0,57600,2,,P276 - CTO Architecture (CPB),,,CPB,1 Jan 23,Algo
Analyze selected CORBAC runs Algo DEC 2022,MIC-688,MicroBoost,anatm,anatol,86400,3,86400,3,100%,P265 - CSO microbials (CSO/Product),MIC-563,,MicroBoost,1 Jan 23,Algo
CLONE - Analyze selected CORBAC runs Algo Jan 2023,MIC-707,MicroBoost,anatm,drorf,28800,1,28800,1,100%,P265 - CSO microbials (CSO/Product),MIC-563,,MicroBoost,1 Jan 23,Algo
Add repair prediction for LocalGoGenome,CRIS-380,CrisprIL,anatm,erane,115200,4,115200,4,100%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Jan 23,Algo
add LOGO for regression in EvoML ,CRIS-395,CrisprIL,anatm,erane,86400,3,57600,2,66%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Jan 23,Algo
Local GoGenome - gRNAs on target max CFD and primers DEC22,CRIS-370,CrisprIL,anatm,erane,144000,5,403200,14,280%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Jan 23,Algo
add repair prediction for plants in Gogenome,CRIS-379,CrisprIL,anatm,erane,86400,3,144000,5,166%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Jan 23,Algo
CLONE - Local GoGenome - gRNAs on target max CFD and primers JAN23,CRIS-397,CrisprIL,anatm,sharonl,403200,14,403200,14,100%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Jan 23,Algo
add primers information for LocalGoGenome,CRIS-378,CrisprIL,anatm,erane,144000,5,374400,13,260%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Feb 23,Algo
Summarize DL predict and Tomato repair model,CRIS-410,CrisprIL,anatm,nira,57600,2,28800,1,50%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Mar 23,Algo
Pareto rewrite into Airflow March,CHEM-622,ChemPass,anatm,robertoo,230400,8,144000,5,62%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Mar 23,Algo
Customizing library screening using DeepDock (after model creation) - cloned,CHEM-569,ChemPass,anatm,robertoo,144000,5,316800,11,220%,P264 - CSO small molecules (CSO/Product),CHEM-595,,ChemPass,1 Mar 23,Algo
